"","Participant.ID","PMQ.T.score","N300_PMevent_F4","N300_PMevent_Fz","N300_PMevent_F3","N300_Pmconcept_F4","N300_Pmconcept_Fz","N300_Pmconcept_F3","PMQ_groups"
"1",1,37,1.2818004,1.730934661,0.677811312,-1.379088162,-1.025586862,-0.723347087,"medium"
"2",2,34,1.15645108,2.005737328,2.491494125,1.037709247,-0.223790202,-0.487812718,"medium"
"3",3,45,0.890076677,0.44182772,-0.445397757,0.297296443,-0.575345072,-0.082062946,"medium"
"4",4,36,2.591946755,-0.596344645,-0.713951389,0.937084604,-3.216602957,-0.138398045,"medium"
"5",5,38,-0.798018923,1.499692846,2.012884009,-1.480360418,-1.786360415,-1.210976694,"medium"
"6",6,39,-1.021325971,-1.159670291,-1.184304119,-1.281640902,-1.567763664,-1.602942699,"medium"
"7",7,50,-0.713888811,-1.599101745,-0.279943462,-2.190207264,-0.815936792,-1.324391557,"medium"
"8",8,26,-1.113288803,-2.239240535,-1.701123842,-2.096197776,-2.279607532,-0.717352736,"low"
"9",9,39,2.322438085,0.404831458,-1.502213385,1.627752711,0.915842477,1.204416656,"medium"
"10",10,33,0.197579992,0.459559604,0.797639454,0.349611837,-0.663162071,-3.192831573,"low"
"11",11,40,-1.594681423,-1.742939563,-0.059223486,-1.076264801,-2.219068191,-1.198980287,"medium"
"12",12,32,-0.061392061,-1.478623596,-1.679155814,-0.872898844,-2.155759057,-0.195607975,"low"
"13",13,32,-1.319951489,2.01310454,-1.934028409,4.551240572,2.214184381,-1.057484051,"low"
"14",14,35,NA,NA,NA,NA,NA,NA,"medium"
"15",15,46,-2.253366796,-2.1884018,-6.8465207,-3.385053989,-3.50013956,-10.47776281,"medium"
"16",16,37,-2.065134503,-1.89513177,-1.501785254,NA,NA,1.225698487,"medium"
"17",17,30,-1.470579152,-1.807734469,-0.254514816,-0.764189469,-1.748265902,-1.877309385,"low"
"18",18,43,NA,NA,NA,NA,NA,NA,"medium"
"19",19,44,-1.196574929,-0.725041626,1.44941613,-2.82401755,-2.602739924,-1.517221865,"medium"
"20",20,39,4.964403337,-2.097584815,-0.045047164,3.392413419,-1.088930693,0.006111064,"medium"
"21",21,63,-1.258903647,-1.145365889,0.02657486,NA,NA,NA,"high"
"22",22,26,-0.649393686,4.336087487,4.428666636,0.332943284,1.342701991,1.686824336,"low"
"23",23,46,-1.114167936,0.611872022,0.342613231,-2.200022349,-0.250018286,-1.007166906,"medium"
"24",24,38,-2.560248111,0.071505588,-3.43451348,-3.277852724,0.859582952,-2.325250931,"medium"
"25",25,22,2.624057124,3.008996845,-1.064840292,-22.18794998,-7.945439106,-18.43791047,"low"
"26",26,37,0.823850371,1.327116968,0.49269936,1.190513128,1.519242104,0.780397993,"medium"
"27",27,37,1.881075669,0.939706038,2.074120885,1.463956346,0.721562758,0.734513678,"medium"
"28",28,38,0.571250106,-0.129353281,-2.283521504,1.054810356,0.419387383,-0.858313642,"medium"
"29",29,32,-1.933117075,-0.419684398,0.090713816,NA,NA,NA,"low"
"30",30,68,NA,NA,NA,-2.711495695,3.050640712,-0.343287997,"high"
"31",31,67,1.352457061,0.243196921,-0.483541979,0.60747725,0.132773873,-0.02677333,"high"
"32",32,69,-0.701754861,-1.264956697,-0.487396268,0.764036532,0.181574979,0.083941324,"high"
"33",33,58,2.860403366,7.3571369,5.063609373,3.419454744,3.420366536,0.96854827,"high"
"34",34,66,-1.58465376,-1.774214092,-0.418766484,-1.468694521,0.20019196,-3.82152063,"high"
"35",35,62,2.704885453,1.816575883,-0.098601216,1.639067156,0.134060639,-2.046497303,"high"
"36",36,50,0.911094382,3.754313335,2.870677921,1.849000713,1.760667646,-0.062987067,"medium"
"37",37,61,NA,NA,NA,-1.343529068,-2.899469513,-3.007333765,"high"
"38",38,60,0.646160045,1.240202918,0.727444452,-0.045868095,0.355578482,0.48927781,"high"
"39",39,71,NA,NA,NA,-1.86600724,-2.006294505,-1.772916209,"high"
"40",40,40,-0.210066441,0.894235011,-0.405161922,-1.380156058,-1.549040562,-1.701325049,"medium"
"41",41,62,-0.436044042,0.485450113,-0.37217783,-0.490042978,0.621041289,0.797767613,"high"
"42",42,55,3.642658706,2.586095725,2.54571086,1.936846933,0.142843973,0.491688453,"high"
"43",43,54,-0.071375568,-0.535546291,-1.912491679,0.749948232,0.131732741,-0.036886894,"high"
"44",44,55,3.207135345,4.443883657,4.449537769,2.654925479,1.390431809,2.653734415,"high"
"45",45,45,-1.159718405,-1.543509107,-2.061462178,-1.816007074,0.198828291,-1.502494844,"medium"
"46",46,44,NA,NA,NA,NA,NA,NA,"medium"
"47",47,23,NA,NA,NA,NA,NA,NA,"low"
"48",48,56,NA,NA,NA,NA,NA,NA,"high"
"49",49,40,NA,NA,NA,NA,NA,NA,"medium"
"50",50,15,NA,NA,NA,NA,NA,NA,"low"
"51",51,67,NA,NA,NA,NA,NA,NA,"high"
"52",52,67,NA,NA,NA,NA,NA,NA,"high"
